Cache State:
Block 0: Valid: 1, Dirty: 0, Tag: 0x4, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 1: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 2: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 3: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 4: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 5: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 6: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 7: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 8: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 9: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 10: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 11: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 12: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 13: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 14: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 15: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 16: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 17: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 18: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 19: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 20: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
Block 21: Valid: 0, Dirty: 0, Tag: 0x0, Data: 0x00000000 0x00000000 0x00000000 0x00000000 
